10;MODELO;PESPONTO;PESP.;COLADEIRA;COLADEIRA;;;;;;;;;;;;;;COSTURA;TRISSE;;;
;1284A645;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1284A657;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1284A661;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1285A638;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1285A639;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1285A640;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1285A641;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1285A642;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,9469;;;
;1285A643;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,3653;;;
;1285A644;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,2023;;;
;1285A645;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1285A656;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,2985;;;
;1285A657;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1285A658;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,2358;;;
;1285A659;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1285A660;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;3,3005;;;
;1290B155;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;2,7701;;;
;1290B156;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1290B157;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;2,9469;;;
;1290B158;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0,1769;;;
;1290B159;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1290B160;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1290B262;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;1,9458;;;
;1290B263;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1290B510;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1290B511;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1290B512;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1295B155;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;2,7701;;;
;1295B156;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1295B157;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;2,9469;;;
;1295B158;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0,1769;;;
;1295B159;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1295B160;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1295B262;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;1,9458;;;
;1295B263;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1295B510;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1295B511;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1295B512;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1295B544;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1295B627;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0,9;;;
;1295B628;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1300A876;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1300A914;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1300A915;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1300A916;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,943;;;
;1300A917;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1300A918;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301A876;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301A914;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301A915;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301A916;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301A917;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,4145;;;
;1301A918;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301A974;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301B214;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,3202;;;
;1301B215;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,3202;;;
;1301B368;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301B369;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301B370;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,9469;;;
;1301B371;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301B372;3,52;1,56;0,98;0,98;;;;;;;;;;;;;;0;0;;;
;1301B373;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301B374;3,52;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301B375;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301B376;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1301B377;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;2,9469;;;
;1302A876;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1302A914;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1302A915;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1302A916;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,3791;;;
;1302A917;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1302A918;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0;;;
;1302B104;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;0,943;;;
;1302B214;3,01;1,31;0,85;0,85;;;;;;;;;;;;;;0;1,3202;;;
